Agemos,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
174.5,15.93155303,16.26979755,16.83848195,17.9487968,19.50672885,21.596203,23.06061552,24.25360674,26.45091448,28.27268613
175.5,15.97734432,16.31695728,16.8878714,18.00225228,19.56514153,21.659611,23.12619375,24.3200304,26.51646321,28.33484391
176.5,16.02329371,16.3642691,16.93740054,18.05581474,19.62359571,21.72293673,23.19157996,24.38616048,26.58150994,28.39631678
177.5,16.0693897,16.41172173,16.98705851,18.10947424,19.6820831,21.78617511,23.25677226,24.4519984,26.64606434,28.45712363
178.5,16.11562074,16.45930384,17.03683437,18.16322076,19.74059538,21.84932117,23.32176902,24.517546,26.71013675,28.51728428
179.5,16.1619752,16.50700399,17.08671707,18.21704418,19.7991242,21.91237008,23.38656886,24.5828055,26.77373817,28.57681946
180.5,16.20844134,16.55481067,17.13669551,18.27093434,19.85766121,21.97531708,23.45117065,24.64777949,26.83688026,28.63575076
181.5,16.25500735,16.60271228,17.18675845,18.32488097,19.916198,22.03815755,23.5155735,24.71247097,26.89957537,28.69410072
182.5,16.30166137,16.65069714,17.23689462,18.37887373,19.97472615,22.10088696,23.57977678,24.77688329,26.96183652,28.75189275
183.5,16.34839144,16.69875348,17.28709261,18.4329022,20.03323719,22.16350089,23.6437801,24.84102024,27.02367739,28.80915118
184.5,16.39518554,16.74686947,17.33734097,18.48695587,20.09172262,22.22599501,23.70758332,24.90488595,27.08511234,28.86590125
185.5,16.44203157,16.79503318,17.38762812,18.54102414,20.15017387,22.2883651,23.77118654,24.96848498,27.14615643,28.92216908
186.5,16.4889174,16.84323264,17.43794242,18.59509632,20.20858236,22.35060703,23.83459013,25.03182226,27.20682538,28.97798172
187.5,16.53583079,16.89145577,17.48827215,18.64916164,20.26693944,22.41271676,23.89779468,25.09490311,27.2671356,29.03336709
188.5,16.58275947,16.93969043,17.53860547,18.70320922,20.32523642,22.47469037,23.96080104,25.15773327,27.32710417,29.08835404
189.5,16.62969112,16.98792443,17.58893048,18.7572281,20.38346455,22.53652401,24.02361032,25.22031884,27.38674888,29.14297232
190.5,16.67661334,17.03614547,17.63923518,18.8112072,20.44161501,22.59821392,24.08622386,25.28266636,27.4460882,29.19725256
191.5,16.72351369,17.08434122,17.68950749,18.86513537,20.49967894,22.65975645,24.14864327,25.34478272,27.50514126,29.25122631
192.5,16.77037969,17.13249925,17.73973524,18.91900132,20.5576474,22.72114803,24.21087038,25.40667527,27.56392793,29.30492601
193.5,16.81719878,17.18060709,17.78990616,18.97279368,20.6155114,22.78238517,24.2729073,25.46835171,27.62246873,29.35838499
194.5,16.86395838,17.22865219,17.8400079,19.02650098,20.67326189,22.84346448,24.33475639,25.52982017,27.68078489,29.41163748
195.5,16.91064668,17.27662259,17.89002837,19.08011149,20.73088905,22.90438167,24.39641931,25.59108848,27.73889854,29.46472007
196.5,16.95724926,17.32450423,17.93995429,19.13361379,20.7883851,22.96513563,24.4579009,25.65216707,27.79683185,29.51766572
197.5,17.0037543,17.37228509,17.98977343,19.18699593,20.84574003,23.02572213,24.51920324,25.71306451,27.85460837,29.57051295
198.5,17.05014902,17.41995236,18.03947307,19.24024598,20.90294449,23.08613815,24.58032971,25.77379055,27.91225209,29.62329955
199.5,17.09642062,17.46749315,18.0890404,19.29335192,20.95998909,23.14638076,24.64128395,25.83435539,27.96978771,29.67606419
200.5,17.1425562,17.51489451,18.1384625,19.34630158,21.01686433,23.20644712,24.70206989,25.89476963,28.02724061,29.72884644
201.5,17.18854287,17.56214342,18.18772638,19.39908272,21.07356067,23.26633451,24.76269168,25.95504426,28.08463689,29.78168674
202.5,17.23436764,17.60922679,18.23681892,19.45168294,21.1300685,23.3260403,24.82315378,26.01519074,28.1420033,29.83462638
203.5,17.2800175,17.65613146,18.28572693,19.50408975,21.18637813,23.38556196,24.88346091,26.07522093,28.19936732,29.88770757
204.5,17.32547937,17.70284417,18.3344371,19.55629056,21.24247982,23.44489706,24.94361805,26.13514709,28.25675709,29.94097335
205.5,17.37074012,17.74935161,18.38293604,19.60827264,21.29836376,23.50404332,25.00363048,26.19498193,28.31420146,29.99446764
206.5,17.41578654,17.79564039,18.43121023,19.66002316,21.35402009,23.56299853,25.06350375,26.2547386,28.37172995,30.04823522
207.5,17.46060537,17.84169701,18.47924607,19.71152919,21.40943891,23.62176064,25.1232437,26.31443063,28.42937274,30.10232173
