Date,Open,High,Low,Close,Volume,Adj Close
2005-02-17,94.50,94.76,93.74,93.75,4254200,79.29
2005-02-16,94.23,94.97,94.20,94.62,4466500,80.03
2005-02-15,93.50,94.67,93.48,94.33,4148000,79.78
2005-02-14,93.16,94.02,93.16,93.57,2868800,79.14
2005-02-11,92.70,93.97,92.50,93.30,4229300,78.91
2005-02-10,92.95,93.10,92.30,92.76,4838400,78.45
2005-02-09,94.14,94.83,92.54,92.70,5657100,78.40
2005-02-08,94.21,94.64,94.13,94.13,3541100,79.61
2005-02-07,94.35,94.90,94.33,94.53,2837800,79.80
2005-02-04,93.01,94.74,93.00,94.51,3807600,79.78
2005-02-03,93.87,93.94,93.06,93.54,3928700,78.96
2005-02-02,93.78,94.35,93.63,94.30,3597400,79.60
2005-02-01,93.67,94.00,93.37,93.86,3637400,79.23
2005-01-31,93.65,93.95,93.05,93.42,4759900,78.86
2005-01-28,92.68,93.59,92.48,92.89,5960600,78.41
2005-01-27,91.50,92.22,91.44,91.98,4746900,77.65
2005-01-26,92.30,92.87,91.94,91.95,5352000,77.62
2005-01-25,91.98,92.59,91.95,92.19,5070700,77.82
2005-01-24,92.70,92.85,91.76,91.79,6537300,77.49
2005-01-21,93.00,93.30,92.23,92.38,7002600,77.98
2005-01-20,92.61,93.84,92.60,93.00,5708600,78.51
2005-01-19,94.95,95.15,92.93,93.10,7352700,78.59
2005-01-18,93.65,95.34,93.62,94.90,8492100,80.11
2005-01-14,94.01,94.25,93.55,94.10,5520800,79.44
2005-01-13,95.39,96.20,93.70,94.45,5339400,79.73
2005-01-12,95.00,95.28,94.06,95.21,5828600,80.37
2005-01-11,95.68,95.79,94.71,95.00,4746400,80.20
2005-01-10,95.78,96.09,95.24,95.68,4625100,80.77
2005-01-07,96.50,96.80,95.47,95.78,6200700,80.85
2005-01-06,96.54,96.98,96.05,96.20,4561700,81.21
2005-01-05,96.60,97.83,96.40,96.50,5646700,81.46
2005-01-04,97.74,98.42,96.52,96.70,5711000,81.63
2005-01-03,98.97,99.10,97.25,97.75,5295200,82.52
2004-12-31,98.60,98.91,98.49,98.58,2793200,83.22
2004-12-30,98.10,99.00,98.07,98.30,3812400,82.98
2004-12-29,97.81,98.47,97.80,98.18,3296300,82.88
2004-12-28,97.40,98.55,97.37,98.30,4336400,82.98
2004-12-27,97.69,97.97,97.38,97.50,3262900,82.31
2004-12-23,97.50,98.00,97.50,97.72,3590600,82.49
2004-12-22,97.35,97.98,97.29,97.61,4950100,82.40
2004-12-21,96.59,97.15,96.51,97.02,4841800,81.90
2004-12-20,96.35,97.57,96.35,96.55,4769900,81.50
2004-12-17,97.00,98.00,96.20,96.20,8853100,81.21
2004-12-16,96.80,98.15,96.80,97.45,5660100,82.26
2004-12-15,96.92,97.70,96.81,97.33,3914500,82.16
2004-12-14,96.30,97.70,96.29,97.31,4493200,82.15
2004-12-13,96.85,97.20,96.08,96.45,4799500,81.42
2004-12-10,96.10,97.99,96.10,96.67,4188300,81.61
2004-12-09,96.20,97.60,95.71,97.51,5713700,82.31
2004-12-08,96.43,97.35,95.77,96.65,5310700,81.59
2004-12-07,97.70,98.25,95.99,96.10,6477100,81.12
2004-12-06,96.88,97.90,96.65,97.67,5263000,82.45
2004-12-03,96.55,97.63,96.55,97.08,7026800,81.95
2004-12-02,95.65,96.78,95.49,95.76,5152300,80.84
2004-12-01,94.50,96.07,94.47,95.88,5664500,80.94
2004-11-30,95.15,95.65,94.24,94.24,5870300,79.55
2004-11-29,94.94,96.38,94.94,95.50,5699800,80.62
2004-11-26,95.05,95.38,94.58,94.72,2204300,79.96
2004-11-24,95.04,95.79,95.04,95.46,3750600,80.58
2004-11-23,94.70,95.37,94.55,95.28,5529900,80.43
2004-11-22,94.30,95.40,94.16,95.11,5814100,80.29
2004-11-19,94.95,95.16,94.25,94.45,5679100,79.73
2004-11-18,95.36,95.70,95.03,95.10,4655900,80.28
2004-11-17,95.30,96.63,95.30,95.46,6353200,80.58
2004-11-16,95.25,95.50,94.65,94.89,5684100,80.10
2004-11-15,95.08,96.00,94.80,95.92,4887600,80.97
2004-11-12,94.66,95.50,94.56,95.32,4958400,80.47
2004-11-11,93.60,95.22,93.54,94.79,7453400,80.02
2004-11-10,92.92,94.30,92.92,93.61,6258400,79.02
2004-11-09,93.00,93.95,93.00,93.37,4513100,78.82
2004-11-08,92.50,93.70,92.50,93.37,4907300,78.82
2004-11-05,92.40,93.52,92.40,93.28,6708400,78.59
2004-11-04,91.05,92.70,90.82,92.38,6951600,77.83
2004-11-03,91.25,91.90,90.97,91.20,6553300,76.84
2004-11-02,89.55,91.22,89.50,90.47,5388700,76.22
2004-11-01,89.33,90.60,89.23,90.11,5160600,75.92
2004-10-29,89.40,89.90,88.95,89.75,4518500,75.62
2004-10-28,89.80,90.24,89.43,89.50,4226500,75.41
2004-10-27,88.58,90.27,88.50,90.00,6035100,75.83
2004-10-26,88.33,89.57,88.25,89.00,7335800,74.99
2004-10-25,87.36,88.90,87.31,88.43,5774500,74.51
2004-10-22,88.22,88.45,87.29,87.39,5988700,73.63
2004-10-21,88.40,88.76,87.66,88.10,6137500,74.23
2004-10-20,88.45,89.19,88.29,88.82,6926800,74.83
2004-10-19,88.20,89.73,88.00,89.37,13692200,75.30
2004-10-18,84.30,86.15,84.29,85.92,7182600,72.39
2004-10-15,84.78,85.25,84.60,84.85,5928500,71.49
2004-10-14,84.75,84.98,84.30,84.78,4233700,71.43
2004-10-13,86.26,86.48,84.43,84.98,6651400,71.60
2004-10-12,86.02,86.20,85.58,86.00,4626600,72.46
